All-Genes	Product	Pathways of gene	Accession-1
fimG	minor component of type 1 fimbriae		E2348C_4626
fimH	minor component of type 1 fimbriae		E2348C_4627
fimI	type 1 pilus biosynthesis fimbrial protein		E2348C_4622
finO	conjugal transfer fertility inhibition protein FinO		E2348_P1_039
finP	"antisense sRNA, regulates the transfer of F-like plasmid"		E2348_P1_mR_2
fis	DNA-binding protein Fis		E2348C_3531
fiu	catecholate siderophore receptor Fiu		E2348C_0757
fixA	electron transfer flavoprotein FixA		E2348C_0042
fixB	electron transfer flavoprotein FixB		E2348C_0043
fixC	oxidoreductase FixC		E2348C_0044
fixX	4Fe-4S ferredoxin		E2348C_0045
fklB	peptidyl-prolyl cis-trans isomerase		E2348C_4537
fkpA	FKBP-type peptidylprolyl isomerase		E2348C_3596
fkpB	FKBP-type peptidylprolyl isomerase		E2348C_0028
fldA	flavodoxin FldA	"adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide II // ""adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide I"""	E2348C_0576
fldB	flavodoxin FldB		E2348C_3148
flgA	flagellar basal body P-ring biosynthesis protein FlgA		E2348C_1162
flgB	flagellar basal-body rod protein FlgB		E2348C_1163
flgC	flagellar basal body rod protein FlgC		E2348C_1164
flgD	flagellar basal body rod modification protein		E2348C_1165
flgE	flagellar hook protein FlgE		E2348C_1166
flgF	flagellar basal body rod protein FlgF		E2348C_1167
flgG	flagellar basal body rod protein FlgG		E2348C_1168
flgH	flagellar basal body L-ring protein		E2348C_1169
flgI	flagellar basal body P-ring biosynthesis protein FlgA		E2348C_1170
flgJ	flagellar rod assembly protein/muramidase FlgJ		E2348C_1171
flgK	flagellar hook-associated protein FlgK		E2348C_1172
flgL	flagellar hook-associated protein FlgL		E2348C_1173
flgM	anti-sigma-28 factor FlgM		E2348C_1161
flgN	export chaperone for FlgK and FlgL		E2348C_1160
flhA	flagellar biosynthesis protein FlhA		E2348C_2003
flhB	flagellar biosynthesis protein FlhB		E2348C_2004
flhC	transcriptional activator FlhC		E2348C_2014
flhD	transcriptional activator FlhD		E2348C_2015
flhE	hypothetical protein		E2348C_2002
fliA	flagellar biosynthesis sigma factor		E2348C_2040
fliC	flagellin		E2348C_2041
fliD	flagellar capping protein		E2348C_2042
fliE	flagellar hook-basal body protein FliE		E2348C_2051
fliF	flagellar MS-ring protein		E2348C_2052
fliG	flagellar motor switch protein G		E2348C_2053
fliH	flagellar assembly protein H		E2348C_2054
fliI	flagellum-specific ATP synthase	"superpathway of histidine, purine, and pyrimidine biosynthesis // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine ribonucleotides <i>de novo</i> biosynthesis"""	E2348C_2055
fliJ	flagellar biosynthesis chaperone		E2348C_2056
fliK	flagellar hook-length control protein		E2348C_2057
fliL	flagellar basal body protein FliL		E2348C_2058
fliM	flagellar motor switch protein FliM		E2348C_2059
fliN	flagellar motor switch protein FliN		E2348C_2060
fliO	flagellar biosynthesis protein FliO		E2348C_2061
fliP	flagellar biosynthesis protein FliP		E2348C_2062
fliQ	flagellar biosynthesis protein FliQ		E2348C_2063
fliR	flagellar biosynthesis protein FliR		E2348C_2064
fliS	flagellar protein FliS		E2348C_2043
fliT	flagellar biosynthesis protein FliT		E2348C_2044
fliY	cystine transporter subunit		E2348C_2038
fliZ	flagella biosynthesis protein FliZ		E2348C_2039
flk	flagella biosynthesis regulator		E2348C_2461
fmt	methionyl-tRNA formyltransferase		E2348C_3550
fnr	fumarate/nitrate reduction transcriptional regulator		E2348C_1527
focA	formate transporter		E2348C_0897
folA	dihydrofolate reductase	"superpathway of chorismate metabolism // ""superpathway of tetrahydrofolate biosynthesis"" // ""formylTHF biosynthesis"" // ""tetrahydrofolate biosynthesis"""	E2348C_0049
folB	bifunctional dihydroneopterin aldolase/dihydroneopterin triphosphate 2'-epimerase	"superpathway of chorismate metabolism // ""superpathway of tetrahydrofolate biosynthesis"" // ""6-hydroxymethyl-dihydropterin diphosphate biosynthesis I"" // ""tetrahydromonapterin biosynthesis"""	E2348C_3351
folC	bifunctional folylpolyglutamate synthase/ dihydrofolate synthase	"folate polyglutamylation // ""superpathway of chorismate metabolism"" // ""superpathway of tetrahydrofolate biosynthesis"" // ""formylTHF biosynthesis"" // ""tetrahydrofolate biosynthesis"""	E2348C_2455
folD	"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase"	"formylTHF biosynthesis // ""formate reduction to 5,10-methylenetetrahydrofolate"" // ""folate transformations I"" // ""tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate"""	E2348C_0462
folE	GTP cyclohydrolase I	"superpathway of chorismate metabolism // ""superpathway of tetrahydrofolate biosynthesis"" // ""6-hydroxymethyl-dihydropterin diphosphate biosynthesis I"""	E2348C_2299
folK	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	"superpathway of chorismate metabolism // ""superpathway of tetrahydrofolate biosynthesis"" // ""6-hydroxymethyl-dihydropterin diphosphate biosynthesis I"""	E2348C_0145
folM	short chain dehydrogenase	tetrahydromonapterin biosynthesis	E2348C_1691
folP	dihydropteroate synthase	"superpathway of chorismate metabolism // ""superpathway of tetrahydrofolate biosynthesis"" // ""tetrahydrofolate biosynthesis"""	E2348C_3456
folX	"D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase"		E2348C_2443
fpr	ferredoxin-NADP reductase		E2348C_4228
frc	formyl-coenzyme A transferase	oxalate degradation II	E2348C_2567
frcK	fructose transport system kinase		E2348C_3180
frdA	fumarate reductase flavoprotein subunit	"mixed acid fermentation // ""TCA cycle III (helicobacter)"" // ""respiration (anaerobic)"" // ""NADH to fumarate electron transfer"" // ""superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"" // ""superpathway of glyoxylate bypass and TCA"" // ""TCA cycle"" // ""TCA cycle I (prokaryotic)"" // ""succinate to cytochrome <i>bd</i> oxidase electron transfer"" // ""succinate to cytochrome <i>bo</i> oxidase electron transfer"" // ""aerobic respiration (cytochrome c)"" // ""TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"" // ""TCA cycle IV (2-oxoglutarate decarboxylase)"""	E2348C_4482
frdB	fumarate reductase iron-sulfur subunit	"mixed acid fermentation // ""TCA cycle III (helicobacter)"" // ""respiration (anaerobic)"" // ""NADH to fumarate electron transfer"" // ""superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"" // ""superpathway of glyoxylate bypass and TCA"" // ""TCA cycle"" // ""TCA cycle I (prokaryotic)"" // ""succinate to cytochrome <i>bd</i> oxidase electron transfer"" // ""succinate to cytochrome <i>bo</i> oxidase electron transfer"" // ""aerobic respiration (cytochrome c)"" // ""TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"" // ""TCA cycle IV (2-oxoglutarate decarboxylase)"""	E2348C_4481
frdC	fumarate reductase subunit C	"mixed acid fermentation // ""TCA cycle III (helicobacter)"" // ""respiration (anaerobic)"" // ""NADH to fumarate electron transfer"" // ""superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"" // ""superpathway of glyoxylate bypass and TCA"" // ""TCA cycle"" // ""TCA cycle I (prokaryotic)"" // ""succinate to cytochrome <i>bd</i> oxidase electron transfer"" // ""succinate to cytochrome <i>bo</i> oxidase electron transfer"" // ""aerobic respiration (cytochrome c)"" // ""TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"" // ""TCA cycle IV (2-oxoglutarate decarboxylase)"""	E2348C_4480
frdD	fumarate reductase subunit D	"mixed acid fermentation // ""TCA cycle III (helicobacter)"" // ""respiration (anaerobic)"" // ""NADH to fumarate electron transfer"" // ""superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"" // ""superpathway of glyoxylate bypass and TCA"" // ""TCA cycle"" // ""TCA cycle I (prokaryotic)"" // ""succinate to cytochrome <i>bd</i> oxidase electron transfer"" // ""succinate to cytochrome <i>bo</i> oxidase electron transfer"" // ""aerobic respiration (cytochrome c)"" // ""TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"" // ""TCA cycle IV (2-oxoglutarate decarboxylase)"""	E2348C_4479
fre	FMN reductase	two-component alkanesulfonate monooxygenase	E2348C_4156
frmA	alcohol dehydrogenase	"mixed acid fermentation // ""pyruvate fermentation to ethanol I"" // ""acetoin degradation"" // ""ethanol degradation I"" // ""ethanol degradation II"" // ""valine degradation II"""	E2348C_0303
frmB	esterase		E2348C_0302
frmR	regulator protein FrmR		E2348C_0304
frr	ribosome recycling factor		E2348C_0177
frsA	fermentation/respiration switch protein		E2348C_0232
fruA	PTS system fructose-specific transporter subunit IIBC		E2348C_2313
fruB	bifunctional PTS system fructose-specific transporter subunit IIA/HPr protein		E2348C_2315
fruK	1-phosphofructokinase	fructose degradation	E2348C_2314
fruR	DNA-binding transcriptional regulator FruR		E2348C_0085
frvA	fructose-like phosphotransferase system subunit EIIA		E2348C_4204
frvB	PTS system transporter subunits IIBC		E2348C_4203
frvR	frv operon regulatory protein		E2348C_4201
frvX	fructose-specific phosphotransferase system protein FrvX		E2348C_4202
frwB	PTS system fructose-like transporter subunit EIIB		E2348C_4262
frwC	fructose-like permease EIIC subunit 2		E2348C_4261
frwD	fructose-like phosphotransferase EIIB subunit 3		E2348C_4265
fryA	fused PTS enzymes: Hpr component/enzyme I component/enzyme IIA component		E2348C_2576
fryC	enzyme IIC component of PTS		E2348C_2579
fsaA	fructose-6-phosphate aldolase		E2348C_0776
fsaB	fructose-6-phosphate aldolase		E2348C_4259
fsr	fosmidomycin efflux system		E2348C_0414
ftnA	ferritin		E2348C_2026
ftnB	ferritin		E2348C_2023
ftsA	cell division protein FtsA		E2348C_0099
ftsB	cell division protein FtsB		E2348C_3018
ftsE	cell division protein FtsE		E2348C_3703
ftsI	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)		E2348C_0089
ftsK	DNA translocase FtsK		E2348C_0886
ftsL	cell division protein FtsL		E2348C_0088
ftsN	cell division protein FtsN		E2348C_4237
ftsQ	cell division protein FtsQ		E2348C_0098
ftsW	cell division protein FtsW		E2348C_0094
ftsX	cell division protein FtsX		E2348C_3702
ftsY	cell division protein FtsY		E2348C_3704
ftsZ	cell division protein FtsZ		E2348C_0100
fucA	L-fuculose phosphate aldolase	"superpathway of fucose and rhamnose degradation // ""fucose degradation"""	E2348C_3067
fucI	L-fucose isomerase	"superpathway of fucose and rhamnose degradation // ""fucose degradation"""	E2348C_3069
fucK	L-fuculokinase	"superpathway of fucose and rhamnose degradation // ""fucose degradation"""	E2348C_3070
fucO	"L-1,2-propanediol oxidoreductase"	"superpathway of fucose and rhamnose degradation // ""L-lactaldehyde degradation (anaerobic)"""	E2348C_3066
fucP	L-fucose transporter		E2348C_3068
fucR	DNA-binding transcriptional activator FucR		E2348C_3072
fucU	L-fucose mutarotase	"superpathway of fucose and rhamnose degradation // ""fucose degradation"""	E2348C_3071
fumA	"fumarate hydratase (fumarase A), aerobic ClassI"		E2348C_1697
fumB	anaerobic class I fumarate hydratase (fumaraseB)		E2348C_4449
fumC	fumarate hydratase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glyoxylate bypass and TCA"" // ""TCA cycle VI (obligate autotrophs)"" // ""TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"" // ""TCA cycle IV (2-oxoglutarate decarboxylase)"" // ""TCA cycle"" // ""TCA cycle I (prokaryotic)"" // ""mixed acid fermentation"" // ""TCA cycle III (helicobacter)"" // ""respiration (anaerobic)"""	E2348C_1696
fur	ferric uptake regulator		E2348C_0574
fusA	elongation factor G		E2348C_3589
fxsA	FxsA protein		E2348C_4466
gabD	succinate-semialdehyde dehydrogenase I	"4-aminobutyrate degradation III // ""GABA shunt"" // ""superpathway of 4-aminobutyrate degradation"" // ""4-aminobutyrate degradation"" // ""TCA cycle IV (2-oxoglutarate decarboxylase)"" // ""4-aminobutyrate degradation II"""	E2348C_2924
gabP	gamma-aminobutyrate transporter		E2348C_2926
gabT	4-aminobutyrate aminotransferase	"GABA shunt // ""superpathway of 4-aminobutyrate degradation"" // ""4-aminobutyrate degradation"" // ""4-aminobutyrate degradation III"" // ""4-aminobutyrate degradation II"""	E2348C_2925
gadA	glutamate decarboxylase	"GABA shunt // ""glutamate degradation IX (via 4-aminobutyrate)"" // ""glutamate dependent acid resistance"""	E2348C_3759
gadB	glutamate decarboxylase	"GABA shunt // ""glutamate degradation IX (via 4-aminobutyrate)"" // ""glutamate dependent acid resistance"""	E2348C_1620
gadC	glutamate: gamma-aminobutyric acid antiporter		E2348C_1619
gadE	DNA-binding transcriptional activator		E2348C_3754
gadW	DNA-binding transcriptional activator		E2348C_3757
gadX	DNA-binding transcriptional regulator GadX		E2348C_3758
gadY	sRNA regulator of gadAB transcriptional activator GadX mRNA		E2348C_ncR61
galE	UDP-galactose-4-epimerase	"D-galactose degradation V (Leloir pathway) // ""galactose degradation I (Leloir pathway)"" // ""galactose degradation III"" // ""stachyose degradation"" // ""UDP-D-galactose biosynthesis"""	E2348C_2182
galF	UTP-glucose-1-phosphate uridylyltransferase	"L-ascorbate biosynthesis IV // ""L-ascorbate biosynthesis V"" // ""sucrose biosynthesis I (from photosynthesis)"" // ""sucrose degradation II (sucrose synthase)"" // ""UDP-glucose biosynthesis"" // ""stachyose degradation"""	E2348C_2183
galK	galactokinase	"D-galactose degradation V (Leloir pathway) // ""galactose degradation I (Leloir pathway)"" // ""galactose degradation III"" // ""stachyose degradation"""	E2348C_0634
galM	aldose 1-epimerase	"sucrose degradation VII (sucrose 3-dehydrogenase) // ""starch degradation V"" // ""trehalose degradation II (trehalase)"" // ""trehalose degradation VI (periplasmic)"" // ""D-galactose degradation V (Leloir pathway)"" // ""galactose degradation I (Leloir pathway)"""	E2348C_0633
galP	D-galactose transporter		E2348C_3196
galR	DNA-binding transcriptional regulator GalR		E2348C_3107
galS	DNA-binding transcriptional regulator GalS		E2348C_2297
galT	galactose-1-phosphate uridylyltransferase	"D-galactose degradation V (Leloir pathway) // ""galactose degradation I (Leloir pathway)"" // ""galactose degradation III"" // ""stachyose degradation"""	E2348C_0635
galU	UTP-glucose-1-phosphate uridylyltransferase	"L-ascorbate biosynthesis IV // ""L-ascorbate biosynthesis V"" // ""sucrose biosynthesis I (from photosynthesis)"" // ""sucrose degradation II (sucrose synthase)"" // ""UDP-glucose biosynthesis"" // ""stachyose degradation"""	E2348C_1363
gapA	glyceraldehyde-3-phosphate dehydrogenase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""homolactic fermentation"" // ""glycolysis I (from glucose-6P)"" // ""gluconeogenesis I"" // ""glycolysis IV (plant cytosol)"" // ""glycolysis III (from glucose)"" // ""glycerol degradation to butanol"" // ""glycolysis VI (metazoan)"" // ""sucrose biosynthesis I (from photosynthesis)"" // ""superpathway of glucose and xylose degradation"""	E2348C_1906
gapC	glyceraldehyde-3-phosphate dehydrogenase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""homolactic fermentation"" // ""glycolysis I (from glucose-6P)"" // ""gluconeogenesis I"" // ""glycolysis IV (plant cytosol)"" // ""glycolysis III (from glucose)"" // ""glycerol degradation to butanol"" // ""glycolysis VI (metazoan)"" // ""sucrose biosynthesis I (from photosynthesis)"" // ""superpathway of glucose and xylose degradation"""	E2348C_1554
garD	(D)-galactarate dehydrogenase	"superpathway of D-glucarate and D-galactarate degradation // ""D-galactarate degradation I"""	E2348C_3414
garK	glycerate kinase	"superpathway of D-glucarate and D-galactarate degradation // ""formaldehyde assimilation I (serine pathway)"" // ""<i>D</i>-glucarate degradation I"" // ""D-galactarate degradation I"" // ""glycolate and glyoxylate degradation I"""	E2348C_3410
garL	alpha-dehydro-beta-deoxy-D-glucarate aldolase	"superpathway of D-glucarate and D-galactarate degradation // ""<i>D</i>-glucarate degradation I"" // ""D-galactarate degradation I"""	E2348C_3412
garP	(D)-galactarate transporter		E2348C_3413
garR	tartronate semialdehyde reductase	"glycolate and glyoxylate degradation I // ""superpathway of D-glucarate and D-galactarate degradation"" // ""<i>D</i>-glucarate degradation I"" // ""D-galactarate degradation I"""	E2348C_3411
gatA	PTS system galactitol-specific transporter subunit IIA		E2348C_2239
gatB	PTS system galactitol-specific transporter subunit IIB		E2348C_2238
gatC	PTS system galactitol-specific transporter subunit IIC		E2348C_2237
gatD	galactitol-1-phosphate dehydrogenase	galactitol degradation	E2348C_2236
gatR	DNA-binding transcriptional repressor GatR		E2348C_2235
gatY	tagatose-bisphosphate aldolase	"D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation // ""galactitol degradation"""	E2348C_2241
gatZ	"D-tagatose 1,6-bisphosphate aldolase 2, subunit"	"D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation // ""galactitol degradation"""	E2348C_2240
gcd	glucose dehydrogenase	glucose and glucose-1-phosphate degradation	E2348C_0127
gcl	glyoxylate carboligase	glycolate and glyoxylate degradation I	E2348C_0441
gcvA	DNA-binding transcriptional activator GcvA		E2348C_3075
gcvB	"regulatory sRNA, regulated by gcvA and gcvR"		E2348C_ncR46
gcvH	glycine cleavage system protein H		E2348C_3156
gcvP	glycine dehydrogenase	"glycine biosynthesis II // ""glycine cleavage"""	E2348C_3155
gcvR	glycine cleavage system transcriptional repressor		E2348C_2716
gcvT	glycine cleavage system aminomethyltransferase T	"formylTHF biosynthesis // ""folate transformations I"" // ""glycine biosynthesis II"" // ""glycine cleavage"""	E2348C_3157
gdhA	glutamate dehydrogenase	"GABA shunt // ""glutamate biosynthesis II"" // ""glutamate degradation X"" // ""glutamate degradation I"" // ""glutamate and glutamine biosynthesis"" // ""TCA cycle VI (obligate autotrophs)"" // ""nitrate reduction V (assimilatory)"" // ""glutamate biosynthesis III"""	E2348C_1889
